Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
Curious,이원표,KR,,1990-03-28,74199,Zerg
aGaham,Luca Lin,NL,,,1112,Zerg
HyuN,고석현,KR,,1988-01-15,234686,Zerg
Mvp,정종현,KR,,1991-02-12,398481,Terran
Shino,Maxime Hego,FR,,,1105,Zerg
ZhuGeLiang,戴文磊,FI,KOVA Esports,1994-09-14,7184,Zerg
Sorry,김지성,KR,,1995-08-10,6962,Terran
Symbol,강동현,KR,,1992-01-02,88730,Zerg
Shakti,Breno Moreira,BR,,1997-07-26,4363,Protoss
Apocalypse,김민형,KR,,,14106,Terran
SuperNova,김영진,KR,ROOT Gaming,1990-05-17,56337,Terran
Spazymazy,Martin Mouritzen,DK,,,877,Zerg
MC,장민철,KR,ROOT Gaming,1991-06-17,498059,Protoss
HuK,Chris Loranger,CA,,1989-05-10,138575,Protoss
TargA,Kristoffer Marthinsen,NO,,1990-04-15,44142,Zerg
XY,向瑶,CN,Invictus Gaming,1987-05-14,74577,Terran
HonMonO,정근용,KR,PREP eSPORTS,,352,Terran
Darkness,Diego Garcés,CL,Alpha X Latam,1996-03-07,4539,Protoss
MCanning,Chris Canning,US,,,10845,Protoss
Jarppi,Rodrigo Hinojosa,CL,,,8360,Terran
Sora,김정훈,KR,,1994-02-14,19866,Protoss
CoCa,최종환,KR,,1994-04-14,18598,Zerg
JimRising,Jaime Arturo Duran Silencio,MX,Timbers Esports,1990-10-12,30811,Zerg
Krr,Kristijonas Barisas,LT,,1989-09-24,5804,Protoss
Silky,殷泳鑫,CN,,,8823,Zerg
Pacomike,Francisco Rodriguez,MX,Team Super,,7205,Protoss
Pigbaby,양희수,KR,,1992-12-14,36490,Protoss
XiGua,王磊,CN,Invictus Gaming,1987-01-14,139108,Zerg
MindelVK,Юрий Воюев,RU,Hasu Players,,862,Protoss
Abbadon,Quentin Denizot,FR,,,182,Terran
Petraeus,Mackenzie Smith,NZ,ROOT Gaming,1996-06-25,29354,Zerg
Hack,김영일,KR,,1994-08-15,21844,Terran
ZipperTheFly,Ярослав Волошин,UA,,,734,Terran
TheZergLord,Gabriel Costa,BR,Team Super,,5040,Zerg
